a,b,c,lumo,plate_num,fic
7.8,0.1,0.64,65000.0,2,0.7747999999999999
7.8,0.15000000000000002,0.64,65000.0,2,0.8997999999999999
7.8,0.2,0.64,65000.0,2,1.0248
7.8,0.25,0.64,65000.0,2,1.1498
7.8,0.30000000000000004,0.64,65000.0,2,1.2748000000000002
7.8,0.35000000000000003,0.64,42531.0,2,1.3998
7.8,0.4,0.64,21739.0,2,1.5248
7.8,0.45,0.64,21113.0,2,1.6498
7.8,0.05,0.96,65000.0,2,0.8498
7.8,0.1,0.96,65000.0,2,0.9748
7.8,0.15000000000000002,0.96,65000.0,2,1.0998
7.8,0.2,0.96,65000.0,2,1.2248
7.8,0.25,0.96,65000.0,2,1.3498
7.8,0.30000000000000004,0.96,65000.0,2,1.4748
7.8,0.35000000000000003,0.96,31084.0,2,1.5998
7.8,0.4,0.96,21122.0,2,1.7248
7.8,0.45,0.96,20938.0,2,1.8498
7.8,0.05,1.28,65000.0,2,1.0497999999999998
7.8,0.1,1.28,65000.0,2,1.1747999999999998
7.8,0.15000000000000002,1.28,65000.0,2,1.2997999999999998
7.8,0.2,1.28,65000.0,2,1.4247999999999998
7.8,0.25,1.28,65000.0,2,1.5497999999999998
7.8,0.30000000000000004,1.28,65000.0,2,1.6748
7.8,0.35000000000000003,1.28,22963.0,2,1.7997999999999998
7.8,0.4,1.28,22099.0,2,1.9247999999999998
7.8,0.45,1.28,22022.0,2,2.0498
7.8,0.05,1.6,65000.0,2,1.2498
7.8,0.1,1.6,65000.0,2,1.3748
7.8,0.15000000000000002,1.6,65000.0,2,1.4998
7.8,0.2,1.6,65000.0,2,1.6248
7.8,0.25,1.6,65000.0,2,1.7498
7.8,0.30000000000000004,1.6,64807.0,2,1.8748
7.8,0.35000000000000003,1.6,21106.0,2,1.9998
7.8,0.4,1.6,21615.0,2,2.1248
7.8,0.45,1.6,21166.0,2,2.2498
7.8,0.05,1.92,20434.0,2,1.4498
7.8,0.1,1.92,20639.0,2,1.5748
7.8,0.15000000000000002,1.92,20931.0,2,1.6998
7.8,0.2,1.92,21497.0,2,1.8248
7.8,0.25,1.92,21367.0,2,1.9498
7.8,0.30000000000000004,1.92,21534.0,2,2.0748
7.8,0.35000000000000003,1.92,21423.0,2,2.1997999999999998
7.8,0.4,1.92,21285.0,2,2.3247999999999998
7.8,0.45,1.92,21104.0,2,2.4497999999999998
7.8,0.05,2.24,20422.0,2,1.6498000000000002
7.8,0.1,2.24,20713.0,2,1.7748000000000002
7.8,0.15000000000000002,2.24,20148.0,2,1.8998000000000002
7.8,0.2,2.24,20102.0,2,2.0248
7.8,0.25,2.24,21016.0,2,2.1498
7.8,0.30000000000000004,2.24,21006.0,2,2.2748000000000004
7.8,0.35000000000000003,2.24,20593.0,2,2.3998
7.8,0.4,2.24,20343.0,2,2.5248
7.8,0.45,2.24,20549.0,2,2.6498
15.6,0,0,65000.0,3,0.2496
0,0.05,0,65000.0,3,0.125
0,0.1,0,65000.0,3,0.25
0,0.15000000000000002,0,65000.0,3,0.37500000000000006
0,0.2,0,65000.0,3,0.5
0,0.25,0,65000.0,3,0.625
0,0.30000000000000004,0,65000.0,3,0.7500000000000001
0,0.35000000000000003,0,65000.0,3,0.875
0,0.4,0,21282.0,3,1.0
0,0.45,0,20891.0,3,1.125
0,0,0.32,65000.0,3,0.19999999999999998
0,0,0.64,65000.0,3,0.39999999999999997
0,0,0.96,65000.0,3,0.6
0,0,1.28,65000.0,3,0.7999999999999999
0,0,1.6,65000.0,3,1.0
0,0,1.92,21091.0,3,1.2
0,0,2.24,20658.0,3,1.4000000000000001
15.6,0.05,0.32,65000.0,3,0.5746
15.6,0.1,0.32,65000.0,3,0.6996
15.6,0.15000000000000002,0.32,65000.0,3,0.8246
15.6,0.2,0.32,65000.0,3,0.9496
